iteration,timestamp,label,n_fft,hop_length,lbp_radius,lbp_points,contour_threshold,classifier,kernel,C,contour_weight,lbp_weight,val_accuracy,val_precision,val_recall
1,2026-08-22T01:16:55,baseline,512,128,1,8,otsu,svm,rbf,1.0,0.45,0.55,0.9333,0.8889,0.8889
2,2026-08-22T01:16:56,spec_nfft1024_hop256,1024,256,1,8,otsu,svm,rbf,1.0,0.45,0.55,0.9333,0.8889,0.8889
3,2026-08-22T01:16:56,spec_nfft256_hop64,256,64,1,8,otsu,svm,rbf,1.0,0.45,0.55,0.9,0.875,0.7778
4,2026-08-22T01:16:57,spec_nfft1024_hop128,1024,128,1,8,otsu,svm,rbf,1.0,0.45,0.55,0.9,0.8,0.8889
5,2026-08-22T01:16:58,lbp_radius2,512,128,2,16,otsu,svm,rbf,1.0,0.45,0.55,0.9333,0.8889,0.8889
6,2026-08-22T01:16:59,lbp_radius3,512,128,3,24,otsu,svm,rbf,1.0,0.45,0.55,0.9333,0.8889,0.8889
7,2026-08-22T01:16:59,contour_thresh0.3,512,128,1,8,0.3,svm,rbf,1.0,0.45,0.55,0.9667,0.9,1.0
8,2026-08-22T01:17:00,contour_thresh0.5,512,128,1,8,0.5,svm,rbf,1.0,0.45,0.55,0.9667,0.9,1.0
9,2026-08-22T01:17:00,contour_thresh0.7,512,128,1,8,0.7,svm,rbf,1.0,0.45,0.55,0.8667,0.7778,0.7778
10,2026-08-22T01:17:00,svm_linear_C1,512,128,1,8,otsu,svm,linear,1.0,0.45,0.55,0.7667,0.75,0.3333
11,2026-08-22T01:17:01,svm_rbf_C10,512,128,1,8,otsu,svm,rbf,10.0,0.45,0.55,0.9,0.875,0.7778
12,2026-08-22T01:17:02,svm_rbf_C0.1,512,128,1,8,otsu,svm,rbf,0.1,0.45,0.55,0.9333,0.8889,0.8889
13,2026-08-22T01:17:02,svm_poly_C1,512,128,1,8,otsu,svm,poly,1.0,0.45,0.55,0.8,0.8,0.4444
14,2026-08-22T01:17:03,lda,512,128,1,8,otsu,lda,n/a,,0.45,0.55,0.8333,0.75,0.6667
15,2026-08-22T01:17:03,random_forest,512,128,1,8,otsu,random_forest,n/a,,0.45,0.55,0.9333,0.8182,1.0
16,2026-08-22T01:17:04,weight_0.5_0.5,512,128,1,8,otsu,svm,rbf,1.0,0.5,0.5,0.9333,0.8889,0.8889
17,2026-08-22T01:17:04,weight_0.6_0.4,512,128,1,8,otsu,svm,rbf,1.0,0.6,0.4,0.9333,0.8889,0.8889
